# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
BA;2907103;Carinhanha;;64,707;62,856;
BA;2907202;Casa Nova;;88,762;67,726;
BA;2907301;Castro Alves;;80,07;68,995;
BA;2907400;Catolândia;;69,885;67,547;
BA;2907509;Catu;;140,227;84,799;
BA;2907558;Caturama;;63,817;66,446;
BA;2907608;Central;;82,826;73,139;
BA;2907707;Chorrochó;;68,401;67,874;
BA;2907806;Cícero Dantas;;102,976;60,487;
BA;2907905;Cipó;;101,4;69,759;
BA;2908002;Coaraci;;99,228;69,857;
BA;2908101;Cocos;;82,902;66,127;
BA;2908200;Conceição da Feira;;96,799;79,041;
BA;2908309;Conceição do Almeida;;94,824;69,672;
BA;2908408;Conceição do Coité;;94,896;72,127;
BA;2908507;Conceição do Jacuípe;;140,286;81,051;
BA;2908606;Conde;;78,895;63,934;
BA;2908705;Condeúba;;107,436;64,144;
BA;2908804;Contendas do Sincorá;;97,252;69,552;
BA;2908903;Coração de Maria;;92,604;70,487;
BA;2909000;Cordeiros;;84,11;61,041;
BA;2909109;Coribe;;55,826;67,142;
BA;2909208;Coronel João Sá;;56,935;45,085;
BA;2909307;Correntina;;90,57;66,395;
BA;2909406;Cotegipe;;76,422;61,536;
BA;2909505;Cravolândia;;77,424;66,759;
BA;2909604;Crisópolis;;80,22;58,113;
BA;2909703;Cristópolis;;75,834;62,087;
BA;2909802;Cruz das Almas;;159,005;82,918;
BA;2909901;Curaçá;;95,151;68,173;
BA;2910008;Dário Meira;;55,068;55,658;
BA;2910057;Dias d'Ávila;;146,82;87,836;
BA;2910107;Dom Basílio;;90,403;71,203;
BA;2910206;Dom Macedo Costa;;89,83;71,621;
BA;2910305;Elísio Medrado;;102,262;70,39;
BA;2910404;Encruzilhada;;80,233;57,246;
BA;2910503;Entre Rios;;109,662;72,358;
BA;2910602;Esplanada;;83,195;69,843;
BA;2910701;Euclides da Cunha;;79,045;63,309;
BA;2910727;Eunápolis;;195,876;79,433;
BA;2910750;Fátima;;84,638;56,062;
BA;2910776;Feira da Mata;;76,483;70,364;
BA;2910800;Feira de Santana;;206,986;86,21;
BA;2910859;Filadélfia;;54,576;68,623;
BA;2910909;Firmino Alves;;96,738;65,533;
BA;2911006;Floresta Azul;;88,241;67,947;
BA;2911105;Formosa do Rio Preto;;117,515;67,703;
BA;2911204;Gandu;;150,187;71,075;
BA;2911253;Gavião;;78,566;71,677;
BA;2911303;Gentio do Ouro;;58,393;69,218;
BA;2911402;Glória;;78,572;64,527;
BA;2911501;Gongogi;;60,932;61,192;
BA;2911600;Governador Mangabeira;;94,942;74,71;
BA;2911659;Guajeru;;84,512;64,044;
BA;2911709;Guanambi;;152,913;76,94;
BA;2911808;Guaratinga;;80,949;59,825;
BA;2911857;Heliópolis;;76,918;58,748;
BA;2911907;Iaçu;;87,527;68,699;
BA;2912004;Ibiassucê;;104,316;70,66;
BA;2912103;Ibicaraí;;106,799;71,095;
BA;2912202;Ibicoara;;120,375;71,713;
BA;2912301;Ibicuí;;114,623;65,52;
BA;2912400;Ibipeba;;85,362;79,702;
BA;2912509;Ibipitanga;;90,101;61,457;
BA;2912608;Ibiquera;;70,942;65,489;
BA;2912707;Ibirapitanga;;70,515;58,791;
BA;2912806;Ibirapuã;;119,902;69,382;
BA;2912905;Ibirataia;;93,6;68,285;
BA;2913002;Ibitiara;;81,514;72,719;
BA;2913101;Ibititá;;84,35;74,026;
BA;2913200;Ibotirama;;141,345;74,869;
BA;2913309;Ichu;;97,426;79,588;
BA;2913408;Igaporã;;99,863;70,198;
BA;2913457;Igrapiúna;;63,846;61,205;
BA;2913507;Iguaí;;88,654;59,891;
BA;2913606;Ilhéus;;170,219;79,395;
BA;2913705;Inhambupe;;78,804;63,435;
BA;2913804;Ipecaetá;;68,064;67,086;
BA;2913903;Ipiaú;;135,227;74,139;
BA;2914000;Ipirá;;90,204;63,794;
BA;2914109;Ipupiara;;88,282;81,406;
BA;2914208;Irajuba;;73,53;61,239;
BA;2914307;Iramaia;;68,027;70,517;
BA;2914406;Iraquara;;71,513;73,246;
BA;2914505;Irará;;94,473;70,921;
BA;2914604;Irecê;;157,619;81,569;
BA;2914653;Itabela;;101,022;67,224;
BA;2914703;Itaberaba;;122,095;75,222;
BA;2914802;Itabuna;;207,403;84,857;
BA;2914901;Itacaré;;84,695;65,124;
BA;2915007;Itaeté;;60,327;62,147;
BA;2915106;Itagi;;86,818;63,53;
BA;2915205;Itagibá;;75,357;64,447;
BA;2915304;Itagimirim;;136,899;69,994;
BA;2915353;Itaguaçu da Bahia;;65,868;65,076;
BA;2915403;Itaju do Colônia;;92,84;66,469;
BA;2915502;Itajuípe;;97,825;73,154;
BA;2915601;Itamaraju;;143,187;71,212;
BA;2915700;Itamari;;98,883;64,444;
BA;2915809;Itambé;;77,363;64,322;
BA;2915908;Itanagra;;72,598;67,779;
BA;2916005;Itanhém;;119,666;68,514;
